regionId;countryId;
ovrige-norge;norge;
ovrige-danmark;danmark;
ovrige-tyskland;tyskland;
douro;portugal;
ovrige-finland;finland;
ovrige-sverige;sverige;
cognactradisjonell;frankrike;
cognacbrut;frankrike;
ovrige-hellas;hellas;
ovrige-skottland;skottland;
orkneyisland;skottland;
speyside;skottland;
ovrige-italia;italia;
tennessee;usa;
ovrige-irland;irland;
ovrige-usa;usa;
ovrige-canada;canada;
ovrige-nederland;nederland;
ovrige-england;england;
ovrige-trinidadtobago;trinidadtobago;
ovrige-mexico;mexico;
ovrige-frankrike;frankrike;
calvados;frankrike;
veneto;italia;
ovrige-spania;spania;
bordeaux;frankrike;
rioja;spania;
rhnesor;frankrike;
toscana;italia;
setubal;portugal;
navarra;spania;
alsace;frankrike;
loire;frankrike;
mosel;tyskland;
rheinhessen;tyskland;
lazio;italia;
catalonia;spania;
minho;portugal;
ovrige-portugal;portugal;
champagne;frankrike;
cava;spania;
emiliaromagna;italia;
piemonte;italia;
centralvalley;chile;
kentucky;usa;
burgund;frankrike;
vinhoverde;portugal;
montillamoriles;spania;
akershus;norge;
sicilia;italia;
ovrige-panama;panama;
buskerud;norge;
telemark;norge;
ovrige-martinique;martinique;
languedocroussillon;frankrike;
ovrige-mauritius;mauritius;
rhnenord;frankrike;
castillaylen;spania;
bobovalley;chile;
abruzzo;italia;
victoria;australia;
hordaland;norge;
lombardia;italia;
coastalregion;sorafrika;
california;usa;
puglia;italia;
westernaustralia;australia;
ovrige-sorafrika;sorafrika;
ronda;spania;
marche;italia;
friuliveneziagiuli;italia;
beiras;portugal;
maipo;chile;
pfalz;tyskland;
rheingau;tyskland;
bornholm;danmark;
ovrige-japan;japan;
southeasternaustra;australia;
sorvest;frankrike;
valais;sveits;
sonoma;usa;
austagder;norge;
campbeltown;skottland;
ovrige-wales;wales;
nahe;tyskland;
burgenland;osterrike;
campania;italia;
calabria;italia;
provence;frankrike;
tokaj;ungarn;
skye;skottland;
southaustralia;australia;
islay;skottland;
ovrige-cuba;cuba;
jerez;spania;
kremstal;osterrike;
kamptal;osterrike;
oregon;usa;
trentinoaltoadige;italia;
ovrige-belgia;belgia;
sognogfjordane;norge;
somontano;spania;
ovrige-storbritannia;storbritannia;
galicia;spania;
colchagua;chile;
troms;norge;
wachau;osterrike;
moselsaarruwer;tyskland;
highland;skottland;
jura;frankrike;
mendoza;argentina;
marlborough;newzealand;
herefordshire;storbritannia;
castillalamancha;spania;
ovrige-island;island;
casablanca;chile;
ovrige-polen;polen;
ovrige-guatemala;guatemala;
ovrige-jamaica;jamaica;
umbria;italia;
armagnac;frankrike;
ovrige-bahamas;bahamas;
mlaga;spania;
rapelvalley;chile;
westerncape;sorafrika;
baden;tyskland;
bekaavalley;libanon;
ovrige-dominikrep;dominikrep;
liguria;italia;
lamancha;spania;
riasbaixas;spania;
paarl;sorafrika;
ovrige-antillene;antillene;
villny;ungarn;
westhighland;skottland;
charente;frankrike;
ovrige-thailand;thailand;
swartland;sorafrika;
weinviertel;osterrike;
valencia;spania;
wagram;osterrike;
ovrige-osterrike;osterrike;
elquivalley;chile;
ovrige-eu;eu;
toro;spania;
rueda;spania;
riberadelduero;spania;
utielrequena;spania;
ovrige-chile;chile;
stellenbosch;sorafrika;
mull;skottland;
almansa;spania;
castilla;spania;
ovrige-moldova;moldova;
newsouthwales;australia;
rogaland;norge;
venezie;italia;
centralhighland;skottland;
lowland;skottland;
peloponnes;hellas;
nemea;hellas;
ovrige-tsjekkia;tsjekkia;
ovrige-ungarn;ungarn;
washington;usa;
ovrige-india;india;
niedersterreich;osterrike;
wien;osterrike;
ica;peru;
savoie;frankrike;
ovrige-taiwan;taiwan;
walkerbay;sorafrika;
sdsteiermark;osterrike;
lisboa;portugal;
jumilla;spania;
otago;newzealand;
wairarapa;newzealand;
hawkesbay;newzealand;
vestfold;norge;
curic;chile;
weststeiermark;osterrike;
valdepeas;spania;
ribatejo;portugal;
bierzo;spania;
ovrige-faeroyene;faeroyene;
ovrige-barbados;barbados;
ovrige-latvia;latvia;
tajbordldunntl;ungarn;
salta;argentina;
northhighland;skottland;
ovrige-sveits;sveits;
franken;tyskland;
samos;hellas;
arran;skottland;
valledaosta;italia;
porto;portugal;
terrasdosado;portugal;
ontario;canada;
ovrige-ovrige;ovrige;
ovrige-estland;estland;
ovrige-uruguay;uruguay;
maule;chile;
ovrige-georgia;georgia;
ovrige-peru;peru;
cariena;spania;
madeira;portugal;
ovrige-newzealand;newzealand;
basilicata;italia;
nelson;newzealand;
sortrondelag;norge;
capeagulhas;sorafrika;
tokajhegyalja;ungarn;
ovrige-argentina;argentina;
cachapoalvalley;chile;
neusiedlersee;osterrike;
ovrige-kroatia;kroatia;
calchaquivalley;argentina;
darling;sorafrika;
aragon;spania;
larioja;argentina;
steiermark;osterrike;
dunntl;ungarn;
mittelrhein;tyskland;
murcia;spania;
madrid;spania;
constantia;sorafrika;
sardinia;italia;
campodeborja;spania;
rhin;tyskland;
ovrige-bermuda;bermuda;
ovrige-brasil;brasil;
robertson;sorafrika;
ovrige-litauen;litauen;
estremadura;portugal;
ovrige-australia;australia;
elgin;sorafrika;
breederivervalley;sorafrika;
ovrige-britjomfruoy;britjomfruoy;
molise;italia;
oslo;norge;
weinlandsterreich;osterrike;
tasmania;australia;
ostfold;norge;
ovrige-venezuela;venezuela;
korsika;frankrike;
sanantonio;chile;
bajoaragn;spania;
ovrige-russland;russland;
ovrige-tyrkia;tyrkia;
ovrige-guyana;guyana;
alicante;spania;
valledeguadalupe;mexico;
limar;chile;
leydavalley;chile;
kreta;hellas;
ovrige-amerjomfruoy;amerjomfruoy;
extremadura;spania;
alentejo;portugal;
wrttemberg;tyskland;
olifantsriver;sorafrika;
ovrige-puertorico;puertorico;
overberg;sorafrika;
ovrige-marokko;marokko;
ovrige-luxemburg;luxemburg;
ovrige-montenegro;montenegro;
ovrige-serbiamonten;serbiamonten;
tenerife;spania;
ovrige-bosniaherceg;bosniaherceg;
ovrige-slovenia;slovenia;
ovrige-makedonia;makedonia;
progreso;uruguay;
aconcaguavalley;chile;
ovrige-kina;kina;
hedmark;norge;
rionegro;argentina;
toledo;spania;
waipara;newzealand;
gisborne;newzealand;
lasvioletas;uruguay;
vestagder;norge;
yecla;spania;
povardarski;makedonia;
zug;sveits;
valdeorras;spania;
thracianvalley;bulgaria;
assenovgrad;bulgaria;
lujndecuyo;argentina;
