"Datotid","Varenummer","Varenavn","Volum","Pris","Literpris","Varetype","Produktutvalg","Butikkategori","Fylde","Friskhet","Garvestoffer","Bitterhet","Sodme","Farge","Lukt","Smak","Passertil01","Passertil02","Passertil03","Land","Distrikt","Underdistrikt","Argang","Rastoff","Metode","Alkohol","Sukker","Syre","Lagringsgrad","Produsent","Grossist","Distributor","Emballasjetype","Korktype","Vareurl"
"","13601","Ballantine's Finest","0.70","354.90","507.00","Whisky","Basisutvalget","Butikkategori 4","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Grain, malt.","En blanding av over 40 ulike malt whisky's og 5-6 ulike grains whiskys. Destillert to ganger. Lagret 6-8 år på fat.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13601"
"","13602","Ballantine's Finest","0.35","204.90","585.40","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Grain, malt.","En blanding av over 40 ulike malt whiskys og 5-6 ulike grains whiskys. Destillert to ganger. Lagret 6-8 år på fat.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13602"
"","13901","Cutty Sark","0.70","319.90","457.00","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","Middels dyp gyllen.","Korn og litt vanilje.","Lett. Korn- og maltpreg.","","","","Skottland","Øvrige","Øvrige","","Bygg","Tradisjonell fremstilling i pot stills og kolonneapparater, maltwhisky- andelen kommer hovedsakelig fra Speyside. Lagringen har foregått i amerikanske eikefat og tidligere brukte sherry-fat fra oloros","40.00","Ukjent","Ukjent","","Berry Bros. & Rudd","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-13901"
"","14201","Grant's Family Reserve","0.70","349.90","499.90","Whisky","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Skottland","Speyside","Øvrige","","Maltwhisky og grain whisky.","Forskjellige maltwhiskyer blandes med grain whisky for å oppnå den ønskede smak. Min. 36 md. på eikefat.","40.00","Ukjent","Ukjent","","William Grant & Sons","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14201"
"","14401","Frangelico","0.70","224.50","320.70","Likør under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Italia","Øvrige","Øvrige","","Nøytralt brennevin, hasselnøttekstrakt.","Opplysninger er ikke gitt av produsent/leverandør.Opplysninger er ikke gitt av produsent/leverandør.","20.00","Ukjent","Ukjent","","Giorgio Barbero","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14401"
"","14501","Johnnie Walker Red Label","0.70","349.90","499.90","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","","","40.00","0.20","Ukjent","","United Dist.","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14501"
"","14601","Jack Daniel's Tennessee","0.70","389.90","557.00","Whisky","Basisutvalget","Butikkategori 1","0","0","0","0","0","","","","","","","USA","Tennessee","Øvrige","","Mais, Rug, Bygg.","","40.00","Ukjent","Ukjent","","Brown-Forman","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14601"
"","14602","Jack Daniel's Tennessee","0.35","223.90","639.70","Whisky","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","USA","Tennessee","Øvrige","","Mais, Rug, Bygg.","","40.00","Ukjent","Ukjent","","Brown-Forman","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14602"
"","14607","Jack Daniel's Tennessee","3.00","1619.90","540.00","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","USA","Tennessee","Øvrige","","Mais, Rug, Bygg.","","40.00","Ukjent","Ukjent","","Brown-Forman","Interbev AS","Trebuchet AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14607"
"","14701","Long John","0.70","335.00","478.60","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Bygg, mais","TradisjonelleMin. 3 år fatlgring","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-14701"
"","15001","Teacher's Highland Cream","0.70","325.00","464.30","Whisky","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Grain, malt.","En blanding av over 30 ulike malt whisky's og 5-6 ulike grain whisky's. Destillert to ganger. Lagret 6-8 år på fat.","40.00","Ukjent","Ukjent","","","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15001"
"","15301","J & B Rare","0.70","329.90","471.30","Whisky","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Skottland","Øvrige","","","","","40.00","Ukjent","Ukjent","","","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15301"
"","15901","Johnnie Walker Black Label","0.70","439.90","628.40","Whisky","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","","","40.00","0.30","Ukjent","","","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-15901"
"","16101","Chivas Regal 12 Years Old","0.70","464.00","662.90","Whisky","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Malt og grainwhisky","Tradisjonell produksjon. 144 md. lagring på eikefat.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16101"
"","16201","Jameson","0.70","369.90","528.40","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Irland","Øvrige","Øvrige","","Bygg.","Destillert tre ganger for å oppnå så ren og mild smak som mulig. Under maltingen blir bygget tørket i lukkede rom (Kiln) som holder den torvpregede røyken borte.","40.00","Ukjent","Ukjent","","Irish Dist.","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16201"
"","16202","Jameson","0.35","199.90","571.20","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Irland","Øvrige","Øvrige","","Bygg.","Destillert tre ganger for å oppnå så ren og mild smak som mulig. Under maltingen blir bygget tørket i lukkede rom (Kiln) som holder den torvpregede røyken borte.","40.00","Ukjent","Ukjent","","Irish Dist.","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16202"
"","16207","Jameson","4.50","2300.00","511.10","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Irland","Øvrige","Øvrige","","Bygg.","Jameson blir destillert tre ganger for å oppnå så ren og mild smak som mulig.Under maltingen blir bygget tørket i lukkede rom (Kiln)","40.00","Ukjent","Ukjent","","Irish Dist.","Pernod Ricard Norway AS","SKANLOG VSD AS","Glassflaske over eller lik 4 ltr","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16207"
"","16501","Four Roses Bourbon","0.70","349.90","499.90","Whisky","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","USA","Øvrige","Øvrige","","10% Bygg, 90% mais.","Sourmash benyttes i fremstillingen. Lagret 72 md. på eikefat.","40.00","Ukjent","Ukjent","","Four Roses Dist.","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16501"
"","16601","Jim Beam Kentucky","0.70","349.90","499.90","Whisky","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","USA","Øvrige","","","","","40.00","Ukjent","Ukjent","","JBB","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-16601"
"","17001","Canadian Club","0.70","345.00","492.90","Whisky","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Canada","Øvrige","Øvrige","","Rug, mais, hvete.","Minimum 3 og opptil 8 år gammel, lagret på eikefat. Den eneste whisky der blanding av alle tre komponenter blir gjort før lagring.","40.00","Ukjent","Ukjent","","","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-17001"
"","17702","Bokma Oude Friesche","0.50","245.00","490.00","Genever","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Nederland","Øvrige","","","","","38.00","Ukjent","Ukjent","","","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-17702"
"","18601","Galliano","0.70","329.90","471.30","Likør","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Italia","Øvrige","Øvrige","","","Destillering og bløting av urter/planter.Blanding av ingrediensene. Filtrering og tapping.24 mnd. flaskemodning før salg.","30.00","230.00","Ukjent","","","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18601"
"","18602","Galliano","0.35","179.90","514.00","Likør","Basisutvalget","Butikkategori 4","0","0","0","0","0","","","","","","","Italia","Øvrige","Øvrige","","","Destillering og bløting av urter/planter. Blanding av ingrediensene. Filtrering og tapping. 24 md. flaskemodning før salg.","30.00","230.00","Ukjent","","","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18602"
"","18701","Beefeater London Dry","0.70","334.90","478.40","Gin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","England","Øvrige","Øvrige","","Korn, enebær, koriander, angelica, appelsinskall.","Destillert to ganger.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18701"
"","18702","Beefeater London Dry","0.35","184.90","528.30","Gin","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","England","Øvrige","Øvrige","","Korn, enebær, koriander, angelica, appelsinskall.","Destillert to ganger.","40.00","Ukjent","Ukjent","","Chivas Brothers","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-18702"
"","19001","Gordon's Special London Dry Gin","0.70","319.90","457.00","Gin","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","England","Øvrige","Øvrige","","Enebær og ca. 14 krydderarter.","","37.50","Ukjent","Ukjent","","Gordon's Dist.","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19001"
"","19002","Gordon's Special London Dry Gin","0.35","189.90","542.60","Gin","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","England","Øvrige","Øvrige","","Enebær og ca. 14 krydderarter.","Opplysninger er ikke gitt av produsent /leverandør.Opplysninger er ikke gitt av produsent /leverandør.","37.50","Ukjent","Ukjent","","Gordon's Dist.","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19002"
"","19604","Angostura","0.20","189.90","949.50","Bitter","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Trinidad,Tobago","Øvrige","Øvrige","","Urter og krydder.","","44.70","Ukjent","Ukjent","","Angostura","Interbrands Norway AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19604"
"","19701","Gammel Dansk Bitter Dram","0.70","389.90","557.00","Bitter","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Danmark","Øvrige","Øvrige","","Urter og krydder","","38.00","Ukjent","Ukjent","","","Arcus AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19701"
"","19702","Gammel Dansk Bitter Dram","0.35","204.90","585.40","Bitter","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Danmark","Øvrige","Øvrige","","Urter og krydder","","38.00","Ukjent","Ukjent","","","Arcus AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-19702"
"","20001","Jägermeister","0.70","379.90","542.70","Bitter","Basisutvalget","Butikkategori 1","0","0","0","0","0","","","","","","","Tyskland","Øvrige","Øvrige","","Brennevin, urter og krydder","","35.00","Ukjent","Ukjent","","","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20001"
"","20002","Jägermeister","0.35","199.90","571.10","Bitter","Basisutvalget","Butikkategori 1","0","0","0","0","0","","","","","","","Tyskland","Øvrige","Øvrige","","Brennevin, urter og krydder","","35.00","Ukjent","Ukjent","","","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20002"
"","20003","Jägermeister","0.10","79.90","799.00","Bitter","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Tyskland","Øvrige","Øvrige","","Brennevin, urter og krydder","","35.00","Ukjent","Ukjent","","","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20003"
"","20901","Cuervo Especial Reposado Tequila","0.70","354.90","507.00","Fruktbrennevin","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Mexico","Øvrige","Øvrige","","Liljeplanten Agave.","","38.00","Ukjent","Ukjent","","José Cuervo","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-20901"
"","21601","Martini Rosso","1.00","196.90","196.90","Vermut","Basisutvalget","Butikkategori 2","0","0","0","0","0","","","","","","","Italia","Øvrige","Øvrige","","Hvitvin, sukker, naturlige aromatiske ekstrakter","Tradisjonell produksjonsmetode.","15.00","153.00","4.50","","Martini & Rossi","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Skrukapsel","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21601"
"","21602","Martini Rosso","0.50","109.90","219.80","Vermut","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Italia","Øvrige","Øvrige","","Hvitvin, sukker, naturlige aromatiske ekstrakter","Tradisjonell produksjonsmetode.","15.00","153.00","4.50","","Martini & Rossi","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Skrukapsel","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21602"
"","21701","Martini Bianco","1.00","196.90","196.90","Vermut","Basisutvalget","Butikkategori 1","0","0","0","0","0","","","","","","","Italia","Øvrige","Øvrige","","Hvitvin, sukker, sprit, aromatiske ekstrakter","Tradisjonell produksjonsmetode.","15.00","168.00","4.50","","Martini & Rossi","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Skrukapsel","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21701"
"","21702","Martini Bianco","0.50","109.90","219.80","Vermut","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Italia","Øvrige","Øvrige","","Hvitvin, sukker, sprit, aromatiske ekstrakter","Tradisjonell produksjonsmetode.","15.00","168.00","4.50","","Martini & Rossi","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Skrukapsel","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-21702"
"","23201","Martini Extra Dry","1.00","196.90","196.90","Vermut","Basisutvalget","Butikkategori 3","5","0","0","0","3","","","","","","","Italia","Øvrige","Øvrige","","Hvitvin, sukker, naturlige aromatiske ekstrakter","Tradisjonell produksjonsmetode.","15.00","26.00","4.50","","Martini & Rossi","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Skrukapsel","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-23201"
"","23801","Curaçao Napoléon Liqueur à l'Orange","0.70","299.90","428.40","Likør","Basisutvalget","Butikkategori 5","0","0","0","0","0","Middels dyp gul.","Aroma preget av sitrus og urter.","Søt og lett krydderpreget med innslag av sitrus, litt fat og karamell. God fylde.","","","","Frankrike","Øvrige","Øvrige","","Alkohol, sukker, vann, aroma. Farge - Karamell E 150","","40.00","280.00","Ukjent","","Cazanove","Palmer Group AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-23801"
"","24101","Cointreau","0.70","399.00","570.00","Likør","Basisutvalget","Butikkategori 1","0","0","0","0","0","","","","","","","Frankrike","Øvrige","Øvrige","","","","40.00","234.00","Ukjent","","Cointreau","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24101"
"","24102","Cointreau","0.35","209.90","599.70","Likør","Basisutvalget","Butikkategori 5","0","0","0","0","0","","","","","","","Frankrike","Øvrige","Øvrige","","","","40.00","234.00","Ukjent","","Cointreau","Robert Prizelius AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24102"
"","24103","Cointreau","0.05","48.00","960.10","Likør","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Øvrige","Øvrige","","","Opplysninger ikke gitt av produsent/leverandør.Opplysninger ikke gitt av produsent/leverandør.","40.00","234.00","Ukjent","","Cointreau","Robert Prizelius AS","Vectura AS","PET","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24103"
"","24201","Dubonnet","0.75","154.90","206.50","Aromatisert Svakvin og annen blandet dri","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Øvrige","Øvrige","","Hvite og røde Muskat druer.","Tradisjonell.Lagres på eikefat i 2 år.","14.80","Ukjent","Ukjent","","","Pernod Ricard Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24201"
"","24401","D. O. M. Bénédictine","0.70","429.90","614.10","Likør","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Øvrige","Øvrige","","27 forskjellige urter og krydder, vaniljebønner og sitronskall.","","40.00","330.00","0.10","","","Bacardi Norge AS","Vectura AS","Engangsflasker av glass","Annet","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24401"
"","24601","Grand Marnier Cordon Rouge","0.70","399.90","571.30","Likør","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Frankrike","Øvrige","Øvrige","","51% Cognac, 49% appelsinlikør","Tradisjonell produksjon med bl.a. destillering av smaksuttrekk.","40.00","235.00","Ukjent","","Marnier-Lapostolle","Diageo Norway AS","SKANLOG VSD AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24601"
"","24702","Bols Banana","0.50","195.00","390.00","Likør under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Nederland","Øvrige","Øvrige","","Sukkermelasse og frukt-/bæressenser","Opplysninger ikke gitt av produsent/leverandør.Opplysninger ikke gitt av produsent/leverandør.","17.00","380.00","1.00","","Bols Int.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-24702"
"","25001","Bols Advocaat","0.70","185.00","264.30","Likør under 22 %","Basisutvalget","Butikkategori 1","0","0","0","0","0","","","","","","","Nederland","Øvrige","Øvrige","","Eggeplommer og cognac.","","15.00","246.00","Ukjent","","Bols Int.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25001"
"","25002","Bols Advocaat","0.50","145.00","290.00","Likør under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Nederland","Øvrige","Øvrige","","Eggeplommer og cognac.","","15.00","246.00","Ukjent","","Bols Int.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25002"
"","25101","Warninks Advocaat","0.70","189.90","271.30","Likør under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Nederland","Øvrige","Øvrige","","Eggeplommer, sukker og alkohol.","Min. 10 eggeplommer pr. 100 g likør. Eggene skal være dagsferske og nøye kontrollert. Etter behov tilsettes sukker og kanskje litt","17.20","Ukjent","Ukjent","","","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25101"
"","25102","Warninks Advocaat","0.35","113.90","325.40","Likør under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Nederland","Øvrige","Øvrige","","Eggeplommer, sukker og alkohol.","Min. 10 eggeplommer pr. 100 g likør. Eggene skal være dagsferske og nøye kontrollert.","17.20","Ukjent","Ukjent","","","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25102"
"","25201","Original Peachtree","0.70","226.00","322.90","Øvrig Brennevin under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Nederland","Øvrige","Øvrige","","Modne ferskner.","Peachtree har ingen kunstige smaks- eller farge-tilsetninger.Opplysninger er ikke gitt av produsent /leverandør.","20.00","289.00","Ukjent","","De Kuyper","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25201"
"","25801","Pisang Ambon","0.70","225.00","321.40","Likør under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Nederland","Øvrige","Øvrige","","","Opplysninger ikke gitt av produsent/leverandør.Opplysninger ikke gitt av produsent/leverandør.","20.00","325.00","Ukjent","","Bols Int.","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25801"
"","25901","Drambuie","0.70","399.90","571.30","Likør","Basisutvalget","Butikkategori 3","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Whisky, sukker, vann","Laget av et utvalg skotsk whisky, mange mellom 15 -20 år gamle. Blandes med sukker og naturlige aromatiske essenser.","40.00","350.00","1.00","","","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25901"
"","25902","Drambuie","0.35","219.90","628.30","Likør","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Whisky, sukker, vann","Laget av et utvalg skotsk whisky, mange mellom 15 -20 år gamle. Blandes med sukker og naturlige aromatiske essenser.","40.00","350.00","1.00","","","Edrington Norway AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25902"
"","25903","Drambuie","0.05","47.90","957.90","Likør","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Skottland","Øvrige","Øvrige","","Whisky, sukker, vann","Laget av et utvalg skotsk whisky (mange mellom 15 -20 år gamle). Blandes med sukker og naturlige aromatiske essenser.Min. 60 md fatl","40.00","350.00","1.00","","","Edrington Norway AS","Vectura AS","PET","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-25903"
"","26201","Frost","0.70","224.90","321.30","Øvrig Brennevin under 22 %","Bestillingsutvalget","Uavhengig sortiment","0","0","0","0","0","","","","","","","Norge","Øvrige","Øvrige","","Kornsprit, kreklingbær","Destillasjon, maserasjon, ingen fat- og/eller flaskelagring.","20.50","175.00","Ukjent","","","Arcus AS","Vectura AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-26201"
"","27201","Jose Cuervo Especial Silver","0.70","344.90","492.70","Fruktbrennevin","Basisutvalget","Butikkategori 6","0","0","0","0","0","","","","","","","Mexico","Øvrige","","","","","38.00","Ukjent","Ukjent","","José Cuervo","Engelstad Spirits AS","Cuveco AS","Engangsflasker av glass","","http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-27201"
