Datotid,"Varenummer",Varenavn,"Volum",Pris,"Literpris",Varetype,"Produktutvalg",Butikkategori,"Fylde",Friskhet,"Garvestoffer",Bitterhet,"Sodme",Farge,"Lukt",Smak,"Passertil01",Passertil02,"Passertil03",Land,"Distrikt",Underdistrikt,"Argang",Rastoff,"Metode",Alkohol,"Sukker",Syre,"Lagringsgrad",Produsent,"Grossist",Distributor,"Emballasjetype",Korktype,"Vareurl"
2014-12-18T00:20:16,"1101",L�iten Linie,"0.70",399.90,"571.30",Akevitt,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Norge,"�vrige",�vrige,"",Poteter, krydder,"16 mnd p� fat",41.50,"5.00",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1101"
,"1102",L�iten Linie,"0.35",239.90,"685.40",Akevitt,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Norge,"�vrige",�vrige,"",Poteter, krydder,"Lagret 16 md. p� fat.",41.50,"5.00",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1102"
,"1201",Gilde Non Plus Ultra,"0.70",599.90,"857.00",Akevitt,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",Middels dyp gyllengul.,"Aroma med fint preg av karve, sitrus og blomst over innslag av fat.",Fint preg av karve, sitrus og integrert fat. God fylde og lengde.,"",,"",Norge,"�vrige",�vrige,"",Poteter, krydder,"12 �r p� fat",41.50,"3.00",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1201"
,"1301",Aalborg Taffel Akvavit,"0.70",329.90,"471.30",Akevitt,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Danmark,"�vrige",,"",,"",45.00,"Ukjent",Ukjent,"",V&S Dist.,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1301"
,"1302",Aalborg Taffel Akvavit,"0.35",219.90,"628.30",Akevitt,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Danmark,"�vrige",,"",,"",45.00,"Ukjent",Ukjent,"",V&S Dist.,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1302"
,"1502",L�iten Export,"0.50",274.90,"549.80",Akevitt,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Norge,"�vrige",�vrige,"",Poteter, krydder,"3-6 mnd p� fat",40.00,"8.00",Ukjent,"",,"Arcus AS",Vectura AS,"PET",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1502"
,"1801",Bommerlunder,"0.70",319.90,"457.00",Akevitt,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",Vannklar.,"Sitrus, litt krydder og anis.",Ren, t�rr, middels fyldig. Sitrus og anis.,"",,"",Tyskland,"�vrige",�vrige,"",,"Original resept siden 1760.Produsert ved destillasjon.Utviklet p� eikefat.",38.00,"Ukjent",Ukjent,"",Berentzen Dist.,"Interbev AS",Trebuchet AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-1801"
,"2001",Graham's Late Bottled Vintage 2008,"0.75",199.90,"266.50",Portvin,"Basisutvalget",Butikkategori 2,"9",8,"0",0,"9",M�rk r�d.,"Svalt preg av modne m�rke b�r, t�rket frukt, lakris og krydder.",Rik, s�dmefull og fint balansert. Fast, litt krydderpreget ettersmak.,"Dessert, kake, frukt",,"Ost",Portugal,"Douro",�vrige,"2008",Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca, Tinto C�o,"Temperaturkontrollert gj�ring i st�ltanker. 4-5 �rs fatlagring.",20.00,"101.50",4.40,"Drikkeklar n�, men kan ogs� lagres",W&J Graham,"Stenberg & Blom AS",Cuveco AS,"Engangsflasker av glass",Naturkork,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2001"
,"2002",Graham's Late Bottled Vintage 2008,"0.38",115.00,"306.70",Portvin,"Basisutvalget",Butikkategori 6,"8",8,"0",0,"8",M�rk r�d.,"Svalt preg av modne m�rke b�r, t�rket frukt, lakris og krydder.",Rik, s�dmefull og fint balansert. Fast, litt krydderpreget ettersmak.,"Dessert, kake, frukt",,"Ost",Portugal,"Douro",�vrige,"2008",Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca, Tinto C�o,"Temperaturkontrollert gj�ring i st�ltanker. 4-5 �rs fatlagring.",20.00,"101.50",4.40,"Drikkeklar n�, men kan ogs� lagres",W&J Graham,"Stenberg & Blom AS",Cuveco AS,"Engangsflasker av glass",Naturkork,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2002"
,"2401",Brennevin Seksti,"0.70",424.90,"607.00",Vodka,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Norge,"�vrige",�vrige,"",Potetsprit,"Destillasjon. Ingen lagring.",60.00,"Ukjent",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-2401"
,"3501",Hammer,"0.70",309.90,"442.70",Vodka,"Basisutvalget",Butikkategori 4,"0",0,"0",0,"0",,"",,"",,"",Norge,"�vrige",�vrige,"",Kornprit,"Destillasjon. Ingen lagring.",42.70,"Ukjent",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3501"
,"3502",Hammer,"0.35",184.90,"528.30",Vodka,"Basisutvalget",Butikkategori 5,"0",0,"0",0,"0",,"",,"",,"",Norge,"�vrige",�vrige,"",Kornprit,"Destillasjon. Ingen lagring.",42.70,"Ukjent",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3502"
,"3801",Finlandia,"0.70",304.90,"435.60",Vodka,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Finland,"�vrige",�vrige,"",Korn, Enzymer, Gj�r, Vann.,"Kornet renses, males, blandes med vann og kokes. Deretter tilsettes gj�r for � initiere alkohol-gj�ringen. Sukker omdannes til ethy",37.50,"Ukjent",Ukjent,"",Altia Corp.,"Interbev AS",Trebuchet AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3801"
,"3803",Finlandia,"0.05",59.00,"1180.10",Vodka,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Finland,"�vrige",�vrige,"",Korn, Enzymer, Gj�r, Vann.,"Kornet renses, males, blandes med vann og kokes. Deretter tilsettes gj�r for � initiere alkohol-gj�ringen. Sukker omdannes til ethy",40.00,"Ukjent",Ukjent,"",Altia Corp.,"Interbev AS",Trebuchet AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3803"
,"3901",Absolut Vodka,"0.70",304.90,"435.60",Vodka,"Basisutvalget",Butikkategori 4,"0",0,"0",0,"0",,"",,"",,"",Sverige,"�vrige",�vrige,"",100% Vinterhvete,"Tradisjonell fermentering og destillasjon i kolonneapparat.",40.00,"Ukjent",Ukjent,"",The Absolut Company,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3901"
,"3902",Absolut Vodka,"0.35",179.90,"514.00",Vodka,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Sverige,"�vrige",�vrige,"",100% Vinterhvete,"Tradisjonell fermentering og destillasjon i kollonneapparat, hvoretter r�spriten rektifiseres.Ingen fatlagring. Ingen flaskelagring.",40.00,"Ukjent",Ukjent,"",The Absolut Company,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3902"
,"4401",Hammer Lime,"0.70",309.90,"442.70",Vodka,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Norge,"�vrige",�vrige,"",Kornprit, limearoma,"Destillasjon. Ingen lagring.",42.70,"Ukjent",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4401"
,"4801",Absolut Citron,"0.70",324.90,"464.10",Vodka,"Basisutvalget",Butikkategori 2,"0",0,"0",0,"0",,"",,"",,"",Sverige,"�vrige",�vrige,"",100% Vinterhvete,"Tradisjonell fermentering og destillasjon, hvoretter r�spriten rektifiseres. Finspriten smaksettes med naturlige aromaer fra forskellige sitrusfrukter. Ingen fatlagring. Ingen flaskelagring.",40.00,"Ukjent",Ukjent,"",The Absolut Company,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4801"
,"5201",Bonaparte V.S.O.P.,"0.70",429.90,"614.10",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Tradisjonell dobbeltdestillasjon. Lagret minst 4 �r p� eikefat.",40.00,"Ukjent",Ukjent,"",,"Arcus AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5201"
,"5401",Bache-Gabrielsen 3 kors,"0.70",369.90,"528.40",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc,"Tradisjonell dobbeldestillasjon. 3 - 5 �rs fatlagring.",40.00,"Ukjent",Ukjent,"",Bache-Gabrielsen,"Vectura AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5401"
,"5402",Bache-Gabrielsen 3 kors,"0.35",209.90,"599.70",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc,"Tradisjonell dobbeldestillasjon. 3 - 5 �rs fatlagring.",40.00,"Ukjent",Ukjent,"",Bache-Gabrielsen,"Vectura AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5402"
,"5404",Bache-Gabrielsen 3 kors,"0.20",154.90,"774.50",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc,"Tradisjonell dobbeldestillasjon. 3 - 5 �rs fatlagring.",40.00,"Ukjent",Ukjent,"",Bache-Gabrielsen,"Vectura AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5404"
,"5701",Renault Carte Noire Extra Old,"0.70",549.90,"785.60",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",,"",,"Lagret 12 �r p� eikefat.",40.00,"Ukjent",Ukjent,"",Renault,"Interbev AS",Trebuchet AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5701"
,"6201",Baron Otard V.S.O.P. Fine Champagne,"0.70",514.90,"735.60",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Grande og Petit Champagne,"Lagret opp til 8 �r.",40.00,"Ukjent",Ukjent,"",Ch. de Cognac,"Bacardi Norge AS",Vectura AS,"Engangsflasker av glass",Skrukapsel,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6201"
,"6202",Baron Otard V.S.O.P. Fine Champagne,"0.35",284.90,"814.00",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Grande og Petit Champagne,"Lagret opp til 8 �r.",40.00,"Ukjent",Ukjent,"",Ch. de Cognac,"Bacardi Norge AS",Vectura AS,"Engangsflasker av glass",Annet,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6202"
,"6301",Hennessy Very Special,"0.70",399.90,"571.30",Druebrennevin,"Basisutvalget",Butikkategori 4,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc (fra Petite Champagne, Grande Champagne, Fins Bois og Borderies).,"Dobbel destillering. Minimum 36 m�neder fatlagring.",40.00,"Ukjent",Ukjent,"",,"Mo�t Hennessy Norge AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6301"
,"6302",Hennessy Very Special,"0.35",229.90,"656.90",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc (fra Petite Champagne, Grande Champagne, Fins Bois og Borderies).,"Dobbel destilleringMin. 36 md fatlagring",40.00,"Ukjent",Ukjent,"",,"Mo�t Hennessy Norge AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6302"
,"6501",Larsen Very Special Vikings',"0.70",389.90,"557.00",Druebrennevin,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc,"Tradisjonell produksjon.",40.00,"12.00",Ukjent,"",Larsen,"Interbev AS",Trebuchet AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6501"
,"6502",Larsen Very Special Vikings',"0.35",229.90,"656.90",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc,"Tradisjonell produksjon.",40.00,"12.00",Ukjent,"",Larsen,"Interbev AS",Trebuchet AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6502"
,"6601",Larsen Viking Ship Fine Champagne,"0.70",1049.90,"1499.90",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",,"Tradisjonell72 md fatlagring.",40.00,"12.00",Ukjent,"",Larsen,"Interbev AS",Trebuchet AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6601"
,"6801",Ch. Fontpinot,"0.70",799.00,"1141.40",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Brut",Grande Champagne,"",Ugni Blanc 100%,"",41.00,"Ukjent",Ukjent,"",Frapin,"Nordic Cellars AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6801"
,"6901",Hennessy X.O.,"0.70",1249.90,"1785.60",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Tradisjonell dobbeltdestillasjon i alambicMin. 6 �rs fatlagring (enkelte elementer er fatlagret i opptil 100 �r)",40.00,"5.00",Ukjent,"",Hennessy,"Mo�t Hennessy Norge AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6901"
,"6902",Hennessy X.O.,"0.35",669.90,"1914.00",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Tradisjonell dobbeltdestillasjon i alambicMin. 6 �rs fatlagring (enkelte elementer er fatlagret i opptil 100 �r)",40.00,"5.00",Ukjent,"",Hennessy,"Mo�t Hennessy Norge AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6902"
,"7001",Courvoisier V.S.,"0.70",379.90,"542.70",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",99% Ugni Blanc.,"5-8 �r gammel, hovedsaklig fra fins bois samt noe petite champagne. Tradisjonell produksjon, destillert 2 ganger. Lagret p� franske eikefat.",40.00,"Ukjent",Ukjent,"",Courvoisier,"Edrington Norway AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7001"
,"7101",De Luze V.S.,"0.70",359.90,"514.10",Druebrennevin,"Basisutvalget",Butikkategori 1,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.,"Pot still destillasjon.",40.00,"12.60",Ukjent,"",De Luze,"Engelstad Spirits AS",Cuveco AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7101"
,"7102",De Luze V.S.,"0.35",199.90,"571.20",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.,"Pot still destillasjon.Min. 30 mnd. lagring p� eikefat.",40.00,"12.60",Ukjent,"",De Luze,"Engelstad Spirits AS",Cuveco AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7102"
,"7103",De Luze V.S.,"0.05",49.90,"998.00",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",90% Ugni Blanc - Folle Blanche - Colombard.  10% JuranconBlanc-Semillon-Sauvignon-Blanc Rame.,"Pot still destillasjon.Min. 30 mnd. lagring p� eikefat.",40.00,"12.60",Ukjent,"",De Luze,"Engelstad Spirits AS",Cuveco AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7103"
,"7501",Martell V.S.,"0.70",399.90,"571.30",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Druene presses forsiktig uten at stener og skinn knuses.",40.00,"6.00",Ukjent,"",Martell,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7501"
,"7502",Martell V.S.,"0.35",229.00,"654.30",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Druene presses forsiktig uten at stener og skinn knuses. Mosten gj�res i 4-5 dager. Etter dette g�r vinen gjennom en malolaktisk gj�ring f�r den sendes til destilleriet. Metodene og apparatene som ben",40.00,"6.00",Ukjent,"",Martell,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7502"
,"7701",R�my Martin V.S.O.P. Fine Champagne,"0.70",525.00,"750.00",Druebrennevin,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc, Folle Blanche og Colombard.,"",40.00,"10.00",Ukjent,"",R�my Martin,"Robert Prizelius AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7701"
,"7901",Hennessy V.S.O.P.,"0.70",514.90,"735.60",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Grunnvinen presses pneumatisk og klares f�r gj�ringsprosessen,",40.00,"4.90",Ukjent,"",Hennessy,"Mo�t Hennessy Norge AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-7901"
,"8001",Martell Medaillon V.S.O.P.,"0.70",495.00,"707.10",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",Ugni Blanc 100%,"Druene presses forsiktig uten at stener og stilker knuses. Mosten gj�res naturlig i fire-fem dager. Etter dette g�r vinen gjennom",40.00,"5.50",Ukjent,"",,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8001"
,"8801",Martell Cordon Bleu,"0.70",924.00,"1320.00",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Frankrike,"Cognac Tradisjonell",�vrige,"",100% Ugni Blanc,"Tradisjonell dobbeltdestillasjon i alambic30-35 �rs lagring i fat (340 ltr) fra Troncais",40.00,"8.00",Ukjent,"",Martell,"Pernod Ricard Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-8801"
,"10701",Metaxa *****,"0.70",355.00,"507.10",Druebrennevin,"Bestillingsutvalget",Uavhengig sortiment,"0",0,"0",0,"0",,"",,"",,"",Hellas,"�vrige",�vrige,"",Druer.,"",38.00,"Ukjent",Ukjent,"",,"Robert Prizelius AS",Vectura AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-10701"
,"12001",Bell's Original,"0.70",329.90,"471.30",Whisky,"Basisutvalget",Butikkategori 6,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.20",Ukjent,"",Bell's Dist.,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12001"
,"12002",Bell's Original,"0.35",181.90,"519.70",Whisky,"Basisutvalget",Butikkategori 5,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.20",Ukjent,"",Bell's Dist.,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12002"
,"12101",Peter Dawson Special,"0.70",299.90,"428.40",Whisky,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.10",Ukjent,"",,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12101"
,"12102",Peter Dawson Special,"0.35",164.90,"471.20",Whisky,"Basisutvalget",Butikkategori 3,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",,"",40.00,"0.10",Ukjent,"",,"Diageo Norway AS",SKANLOG VSD AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12102"
,"12201",Inverness Cream,"0.70",299.90,"428.40",Whisky,"Basisutvalget",Butikkategori 4,"0",0,"0",0,"0",,"",,"",,"",Skottland,"�vrige",�vrige,"",Bygg, Mais, Vann, Gj�r.,"Lagret 3 �r p� eikefat.",40.00,"Ukjent",Ukjent,"",,"Interbrands Norway AS",Cuveco AS,"Engangsflasker av glass",,"http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-12201"